PROTEIN,TYPE,GENE
K11893,BTD,BTI_3995 BTI_4631 BTI_488 BTI_4910 BTI_5359
K11893,BTV,BTHA_4241 BTHA_4829 BTHA_4964 BTHA_5574 BTHA_811
K11893,BTHE,BTN_4294 BTN_4911 BTN_5042 BTN_5630 BTN_668
K11893,BTHM,BTRA_3639 BTRA_4559 BTRA_5179 BTRA_5310 BTRA_930
K11893,BTHA,DR62_3396 DR62_4343 DR62_5037 DR62_5171 DR62_837
K11893,BTHL,BG87_3600 BG87_4626 BG87_5246 BG87_5377 BG87_917
K11893,BOK,DM82_2789 DM82_3762 DM82_4632 DM82_4977 DM82_5823
K11893,BOC,BG90_1921 BG90_4281 BG90_4808 BG90_5618 BG90_5959
K11893,BUT,X994_3029 X994_4089 X994_4510 X994_4581 X994_4953 X994_5606
K11893,BVI,Bcep1808_0457 Bcep1808_4430 Bcep1808_5148
K11893,BVE,AK36_356 AK36_3745
K11893,BUR,Bcep18194_A3556 Bcep18194_B0984 Bcep18194_B1594
K11893,BCN,Bcen_2642
K11893,BCH,Bcen2424_0464
K11893,BCM,Bcenmc03_0442
K11893,BCJ,BCAL0338
K11893,BCEN,DM39_279 DM39_5892 DM39_6839
K11893,BCEW,DM40_1184 DM40_4771
K11893,BCEO,I35_0329 I35_4156(vasE)
K11893,BAM,Bamb_0378 Bamb_3478
K11893,BAC,BamMC406_0399 BamMC406_3024 BamMC406_3648 BamMC406_6677
K11893,BMU,Bmul_2933 Bmul_3913
K11893,BMJ,BMULJ_00301
K11893,BMK,DM80_1216 DM80_5232
K11893,BMUL,NP80_4698 NP80_501
K11893,BCT,GEM_3047 GEM_4216
K11893,BCED,DM42_1369
K11893,BDL,AK34_2668 AK34_3161 AK34_3968
K11893,BPYR,ABD05_07955 ABD05_17830
K11893,BCON,NL30_04740 NL30_20100
K11893,BXE,Bxe_A2089
K11893,BXB,DR64_4244
K11893,BPH,Bphy_5994 Bphy_6110
K11893,BPY,Bphyt_0936 Bphyt_4910
K11893,BGL,bglu_1g03860 bglu_2g01460 bglu_2g07370 bglu_2g11060
K11893,BGP,BGL_1c03550(hsiJ1) BGL_1c13380(hsiJ2) BGL_2c02930(hsiJ1) BGL_2c20090(hsiJ2)
K11893,BGU,KS03_1312 KS03_3496 KS03_4814 KS03_5178
K11893,BUG,BC1001_0183 BC1001_5634
K11893,BGE,BC1002_4289 BC1002_5460 BC1002_6250
K11893,BGF,BC1003_0515 BC1003_4189 BC1003_5732
K11893,BGD,bgla_1g04070 bgla_2g04010 bgla_4p2370
K11893,BGO,BM43_1794 BM43_7158
K11893,BYI,BYI23_C000090 BYI23_C002010 BYI23_C003690 BYI23_C010250 BYI23_D001470
K11893,BUK,MYA_0388 MYA_4073 MYA_4722 MYA_5767
K11893,BPX,BUPH_01739 BUPH_06126
K11893,BUO,BRPE64_CCDS04600
K11893,BUE,BRPE67_CCDS00680 BRPE67_CCDS08510 BRPE67_CCDS10210
K11893,BUL,BW21_4153 BW21_4438 BW21_5040 BW21_539 BW21_5989
K11893,BUB,BW23_1273 BW23_4470 BW23_4511 BW23_5255 BW23_5849
K11893,BFN,OI25_2688 OI25_4184 OI25_5916
K11893,PPUL,RO07_20885
K11893,POX,MB84_02290
K11893,BPA,BPP0728
K11893,BPAR,BN117_0760
K11893,BBR,BB0814
K11893,BBM,BN115_0783
K11893,BBH,BN112_2626
K11893,BBX,BBS798_0787
K11893,BPT,Bpet2459 Bpet4104
K11893,BAV,BAV0280
K11893,BHZ,ACR54_00333
K11893,AXY,AXYL_05696 AXYL_06385
K11893,AXO,NH44784_051391
K11893,AXN,AX27061_3279
K11893,AXS,LH59_15475
K11893,TEQ,TEQUI_0712
K11893,TEA,KUI_0086
K11893,TEG,KUK_1097
K11893,TAS,TASI_0086
K11893,TAT,KUM_1255
K11893,PUT,PT7_0353 PT7_2328
K11893,AMIM,MIM_c06510
K11893,AAV,Aave_1471
K11893,AAA,Acav_1510
K11893,DAC,Daci_3844
K11893,DEL,DelCs14_2978
K11893,VAP,Vapar_0211 Vapar_0514
K11893,VPE,Varpa_0551 Varpa_2919 Varpa_3272 Varpa_5537
K11893,VPD,VAPA_1c02460 VAPA_1c05920
K11893,JAG,GJA_2561 GJA_5377
K11893,HSE,Hsero_0738 Hsero_4040
K11893,CFU,CFU_0077
K11893,CARE,LT85_2320(impJ) LT85_3546
K11893,MNR,ACZ75_00160
K11893,LCH,Lcho_4055
K11893,RGE,RGE_25790 RGE_30310
K11893,AZO,azo1299 azo3892(impJ)
K11893,AZA,AZKH_1754
K11893,AZI,AzCIB_3239
K11893,DAR,Daro_2180
K11893,MEP,MPQ_1233
K11893,HHE,HH0250
K11893,HCP,HCN_1429
K11893,HCB,HCBAA847_1601
K11893,CJL,PJ17_05100
K11893,CCO,CCC13826_1178
K11893,CLM,UPTC16712_0876
K11893,CLN,UPTC3659_1089
K11893,CPEL,CPEL_0979
K11893,CSM,CSUB8521_1042
K11893,CSF,CSUB8523_1148
K11893,ANT,Arnit_1751
K11893,ARC,ABLL_2181
K11893,GSU,GSU0429(tssK)
K11893,GSK,KN400_0398(tssK)
K11893,GME,Gmet_3311(tssK)
K11893,GBM,Gbem_3047(tssK)
K11893,GEM,GM21_1203
K11893,GEB,GM18_3035
K11893,GPI,GPICK_15130
K11893,GSB,GSUB_05380
K11893,PCA,Pcar_2809(tssK)
K11893,DES,DSOUD_3261(tssK)
K11893,DSA,Desal_0433
K11893,DAF,Desaf_2236
K11893,DHY,DESAM_21894
K11893,DSF,UWK_02709
K11893,MXA,MXAN_4802
K11893,MFU,LILAB_18355 LILAB_31970
K11893,MSD,MYSTI_03173 MYSTI_04776
K11893,CCX,COCOR_04144
K11893,SUR,STAUR_1808
K11893,AGE,AA314_03869 AA314_05721 AA314_08435
K11893,SCL,sce4987 sce9346
K11893,SCU,SCE1572_30340
K11893,CCRO,CMC5_030470(impJ)
K11893,SAMY,DB32_005968
K11893,HOH,Hoch_3046
K11893,PACA,ID47_06000
K11893,CAQ,IM40_07550
K11893,MLO,mlr2347
K11893,MCI,Mesci_6380
K11893,SFD,USDA257_c28540
K11893,ATU,Atu4334(impJ)
K11893,ATF,Ach5_45010(impJ)
K11893,AVI,Avi_6043(impJ)
K11893,AGR,AGROH133_09384
K11893,REC,RHECIAT_PB0000224 RHECIAT_PC0000948
K11893,REL,REMIM1_PF00466
K11893,REI,IE4771_PD00453 IE4771_PD00627
K11893,REP,IE4803_PB00313 IE4803_PC00441 IE4803_PC00616
K11893,RLE,pRL120466(impJ)
K11893,RLB,RLEG3_07635
K11893,RLU,RLEG12_10655
K11893,RGA,RGR602_PC01402 RGR602_PC01613
K11893,NGG,RG540_PA11540(tssK)
K11893,BJA,blr3599
K11893,BJU,BJ6T_33680
K11893,BJP,RN69_16330
K11893,AZC,AZC_2595
K11893,MNO,Mnod_3046
K11893,MSL,Msil_2354
K11893,CHEL,AL346_04515
K11893,RSP,RSP_3485
K11893,RSH,Rsph17029_3129
K11893,RSK,RSKD131_3650
K11893,JAN,Jann_3033
K11893,PDE,Pden_2451
K11893,PAMI,JCM7686_pAMI6p144
K11893,PSF,PSE_1863 PSE_2846
K11893,LMD,METH_23400
K11893,SSAN,NX02_18615
K11893,ACR,Acry_2090
K11893,AMV,ACMV_23360
K11893,AZL,AZL_017770 AZL_a01610
K11893,ALI,AZOLI_1021
K11893,ABS,AZOBR_p1150008
K11893,ABQ,ABAZ39_21750 ABAZ39_29740
K11893,TMO,TMO_a0079
K11893,ACM,AciX9_4006 AciX9_4009
K11893,GMA,AciX8_2879 AciX8_2881
K11893,TSA,AciPR4_1079 AciPR4_1081
K11893,SUS,Acid_0225 Acid_0227
K11893,GAU,GAU_3867 GAU_3869
K11893,GBA,J421_5471 J421_5497
K11893,RBA,RB9679
K11893,PSL,Psta_1826
K11893,PBS,Plabr_1754
K11893,SACI,Sinac_2417
K11893,NDE,NIDE1971
K11893,LFC,LFE_2287
K11895,ECE,Z0259
K11895,ECS,ECs0228
K11895,ECF,ECH74115_0242
K11895,ETW,ECSP_0231
K11895,ELX,CDCO157_0225
K11895,EOH,ECO103_0223 ECO103_3372
K11895,EOK,G2583_0235
K11895,ELR,ECO55CA74_01105
K11895,ECC,c3400
K11895,ECP,ECP_0234 ECP_2820
K11895,ECI,UTI89_C0247
K11895,ECV,APECO1_1762(aec22) APECO1_3697
K11895,ECX,EcHS_A0234
K11895,ECW,EcE24377A_0236
K11895,ECY,ECSE_0224
K11895,ECR,ECIAI1_0237
K11895,ECQ,ECED1_0235
K11895,ECK,EC55989_0228 EC55989_3293 EC55989_3321
K11895,EUM,ECUMN_0224
K11895,ECZ,ECS88_0242 ECS88_3103
K11895,ELO,EC042_0220 EC042_4543 EC042_4568
K11895,ELN,NRG857_01130 NRG857_13870
K11895,ESE,ECSF_2623
K11895,ESO,O3O_04940 O3O_21260
K11895,ESM,O3M_04430 O3M_20340
K11895,ESL,O3K_04385 O3K_20440
K11895,EKO,EKO11_0929 EKO11_3694
K11895,EKF,KO11_01090 KO11_08745
K11895,EAB,ECABU_c31040
K11895,EIH,ECOK1_0231 ECOK1_3211
K11895,ENA,ECNA114_28701
K11895,ELU,UM146_02395 UM146_16185
K11895,EUN,UMNK88_237
K11895,ELW,ECW_m0227(etsR) ECW_m3054
K11895,ELL,WFL_01090 WFL_14915
K11895,ELC,i14_3122
K11895,ELD,i02_3122
K11895,ELF,LF82_023 LF82_443
K11895,ECOL,LY180_01125 LY180_14440
K11895,ECOI,ECOPMV1_00236 ECOPMV1_03094
K11895,ECOJ,P423_15525
K11895,ECOO,ECRM13514_2605
K11895,ECOH,ECRM13516_2531
K11895,EFE,EFER_1972
K11895,STY,STY0288
K11895,STT,t2596
K11895,SEX,STBHUCCB_27500
K11895,SENT,TY21A_13180
K11895,STM,STM0267
K11895,SEO,STM14_0314
K11895,SEV,STMMW_02651
K11895,SEY,SL1344_0261(sciB)
K11895,SEM,STMDT12_C02630
K11895,SEJ,STMUK_0269
K11895,SEB,STM474_0278
K11895,SEF,UMN798_0291(sciB)
K11895,SETU,STU288_13410
K11895,SETC,CFSAN001921_16065
K11895,SEEN,SE451236_07355
K11895,SENR,STMDT2_02621(sciB)
K11895,SENI,CY43_01340
K11895,SPT,SPA2502
K11895,SEK,SSPA2334
K11895,SEI,SPC_0276
K11895,SEC,SC0262
K11895,SEH,SeHA_C0305
K11895,SHB,SU5_0909
K11895,SENH,CFSAN002069_07810
K11895,SEEH,SEEH1578_10425
K11895,SEE,SNSL254_A0292
K11895,SENN,SN31241_12570
K11895,SEW,SeSA_A0297
K11895,SEA,SeAg_B1107
K11895,SENS,Q786_05160
K11895,SED,SeD_A0290 SeD_A1226
K11895,SEG,SG1039
K11895,SEL,SPUL_1908
K11895,SEGA,SPUCDC_1894
K11895,SENA,AU38_01360
K11895,SENO,AU37_01360
K11895,SENV,AU39_01360
K11895,SENQ,AU40_01535
K11895,SENL,IY59_01390
K11895,SEEC,CFSAN002050_07880
K11895,SEEP,I137_08655
K11895,SENE,IA1_01425
K11895,SENC,SEET0819_08270
K11895,SES,SARI_02605 SARI_02714
K11895,SBG,SBG_1243
K11895,SBZ,A464_1434
K11895,SBV,N643_05930 N643_13460
K11895,YPE,YPO0505 YPO1486 YPO2948 YPO3594
K11895,YPK,y0280 y1536 y2683 y3670
K11895,YPA,YPA_0782 YPA_2139 YPA_3397 YPA_3591
K11895,YPN,YPN_0380 YPN_1432 YPN_2492 YPN_3578
K11895,YPM,YP_1376 YP_2575 YP_3674 YP_3956
K11895,YPP,YPDSF_0200 YPDSF_1489 YPDSF_2056 YPDSF_3129
K11895,YPG,YpAngola_A0758 YpAngola_A2698 YpAngola_A2994
K11895,YPZ,YPZ3_0490 YPZ3_1354 YPZ3_2596 YPZ3_3085
K11895,YPT,A1122_02560 A1122_07370 A1122_11235 A1122_18485
K11895,YPD,YPD4_0442 YPD4_1320 YPD4_2582 YPD4_3073
K11895,YPX,YPD8_0443 YPD8_1309 YPD8_2577 YPD8_3253
K11895,YPH,YPC_1449 YPC_2668 YPC_4017 YPC_4428
K11895,YPW,CH59_1356 CH59_2347 CH59_3126 CH59_352
K11895,YPJ,CH55_1052 CH55_2247 CH55_2609 CH55_4130
K11895,YPV,BZ15_2067 BZ15_3066 BZ15_4036 BZ15_583
K11895,YPL,CH46_1387 CH46_2157 CH46_3640 CH46_409
K11895,YPS,YPTB0646 YPTB1503 YPTB2673 YPTB3634
K11895,YPO,BZ17_1014 BZ17_1911 BZ17_2964 BZ17_3965
K11895,YPI,YpsIP31758_0317 YpsIP31758_0801 YpsIP31758_1360 YpsIP31758_2488 YpsIP31758_3431
K11895,YPY,YPK_0390 YPK_1472 YPK_2586 YPK_3560
K11895,YPB,YPTS_0669 YPTS_1611 YPTS_2770 YPTS_3818
K11895,YPQ,DJ40_1723 DJ40_2772 DJ40_3226 DJ40_3264 DJ40_3870 DJ40_710
K11895,YPU,BZ21_1970 BZ21_2956 BZ21_4028 BZ21_839
K11895,YPR,BZ20_1449 BZ20_2473 BZ20_2924 BZ20_2935 BZ20_3536 BZ20_463
K11895,YPC,BZ23_1117 BZ23_122 BZ23_2254 BZ23_3244
K11895,YPF,BZ19_2037 BZ19_2588 BZ19_3105 BZ19_4148 BZ19_940
K11895,YEN,YE2698
K11895,YEP,YE105_C1589
K11895,YEY,Y11_15781
K11895,YEL,LC20_00921
K11895,YEW,CH47_2046
K11895,YET,CH48_3186
K11895,YEF,FORC2_2674
K11895,YEE,YE5303_31261
K11895,YSI,BF17_05855 BF17_11510 BF17_22860
K11895,YAL,AT01_1877 AT01_4069
K11895,YFR,AW19_2449 AW19_2507
K11895,YIN,CH53_2541 CH53_3425
K11895,YKR,CH54_3280 CH54_3337
K11895,YRO,CH64_1886 CH64_3125
K11895,YAK,ACZ76_05410
K11895,SFX,S0213(safB)
K11895,SFV,SFV_0202 SFV_0203(safB)
K11895,SFE,SFxv_0216
K11895,SFN,SFy_0279
K11895,SFS,SFyv_0282
K11895,SFT,NCTC1_00215
K11895,SSN,SSON_0249
K11895,SSJ,SSON53_01260
K11895,ECA,ECA3441
K11895,PATR,EV46_17040
K11895,PATO,GZ59_34560
K11895,PCT,PC1_3251
K11895,PCC,PCC21_032380
K11895,PCV,BCS7_14500 BCS7_16380
K11895,PWA,Pecwa_1074 Pecwa_2450
K11895,PEC,W5S_0966 W5S_2423
K11895,ETA,ETA_06320
K11895,EPY,EpC_06350
K11895,EPR,EPYR_00666
K11895,EAM,EAMY_3006 EAMY_3213
K11895,EAY,EAM_0382 EAM_0591
K11895,EBI,EbC_04200 EbC_05940 EbC_39410
K11895,ERJ,EJP617_04630
K11895,PLU,plu0368 plu2296 plu3224 plu4201
K11895,PAY,PAU_00284 PAU_02277 PAU_03039 PAU_03799 PAU_03817
K11895,PTT,VY86_03410 VY86_10110 VY86_11800 VY86_14020 VY86_19670 VY86_22270
K11895,ENC,ECL_01550(impH) ECL_01818(impH)
K11895,ENO,ECENHK_13145 ECENHK_15795
K11895,ECLO,ENC_07360 ENC_09070
K11895,EEC,EcWSU1_02680
K11895,ENL,A3UG_13400
K11895,ECLA,ECNIH3_09265 ECNIH3_11385 ECNIH3_12490
K11895,ECLC,ECR091_09240 ECR091_11325 ECR091_12425
K11895,ECLG,EC036_25930
K11895,ECLE,ECNIH2_12990
K11895,ECLN,ECNIH4_09835
K11895,ECLI,ECNIH5_09255 ECNIH5_10440 ECNIH5_12435
K11895,ECLX,LI66_11860 LI66_12800
K11895,ECLY,LI62_13715 LI62_14495
K11895,ECLZ,LI64_12545
K11895,EAS,Entas_1941 Entas_3856 Entas_4622
K11895,EAU,DI57_03420 DI57_06070
K11895,EAE,EAE_19355 EAE_21910
K11895,EAR,CCG29552 CCG30017
K11895,ENR,H650_00850 H650_11185
K11895,ESA,ESA_00144 ESA_02039 ESA_03922
K11895,CSK,ES15_2186(vasB) ES15_2827(impH1) ES15_3832(impH2)
K11895,CSZ,CSSP291_12930 CSSP291_18150 CSSP291_20813
K11895,CSI,P262_00071
K11895,CSJ,CSK29544_00861 CSK29544_03317 CSK29544_1p0048
K11895,CCON,AFK62_00485 AFK62_14050
K11895,CTU,CTU_00860 CTU_12090 CTU_19550
K11895,KPN,KPN_02249 KPN_03180
K11895,KPU,KP1_2420 KP1_3368
K11895,KPM,KPHS_23180 KPHS_32480
K11895,KPP,A79E_1985 A79E_2820
K11895,KPK,A593_00820 A593_21565
K11895,KPH,KPNIH24_12275 KPNIH24_16615
K11895,KPZ,KPNIH27_11195 KPNIH27_15510
K11895,KPV,KPNIH29_11485 KPNIH29_16220
K11895,KPW,KPNIH30_12075 KPNIH30_16505
K11895,KPY,KPNIH31_11115 KPNIH31_15690
K11895,KPG,KPNIH32_11915 KPNIH32_16400
K11895,KPC,KPNIH10_11620 KPNIH10_15980
K11895,KPQ,KPR0928_11630 KPR0928_15955
K11895,KPT,VK055_0200(impH2) VK055_1090(impH)
K11895,KPE,KPK_0937 KPK_2054
K11895,KPO,KPN2242_09840 KPN2242_14255
K11895,KPR,KPR_1856 KPR_3170
K11895,KPJ,N559_2028 N559_2911
K11895,KPI,D364_06955 D364_11505
K11895,KPA,KPNJ1_02194 KPNJ1_03081
K11895,KPS,KPNJ2_02153 KPNJ2_03079
K11895,KPX,PMK1_00660 PMK1_03740 PMK1_04616
K11895,KPB,FH42_03000 FH42_07365
K11895,KPNE,KU54_010115 KU54_014585
K11895,KPNU,LI86_10070 LI86_14520
K11895,KVA,Kvar_2955
K11895,KVD,KR75_19385
K11895,KVQ,SP68_00425 SP68_04885
K11895,KOX,KOX_12000 KOX_18860 KOX_22405 KOX_25950
K11895,KOE,A225_2641 A225_3359 A225_4093
K11895,KOY,J415_11615 J415_15165 J415_18775
K11895,KOK,KONIH1_12945 KONIH1_16470 KONIH1_20250
K11895,KOM,HR38_17205 HR38_20720 HR38_24090
K11895,KMI,VW41_06700 VW41_20710
K11895,CRO,ROD_27831(cts1R) ROD_34221(cts2R)
K11895,CFD,CFNIH1_08910
K11895,SPE,Spro_1801 Spro_3012
K11895,SMAF,D781_1694 D781_2795
K11895,SMW,SMWW4_v1c30280(impH) SMWW4_v1c31550(tssG)
K11895,SMAR,SM39_2492
K11895,SMAC,SMDB11_2273
K11895,SERF,L085_12870 L085_13715
K11895,SERS,SERRSCBI_14585
K11895,SFW,WN53_08630 WN53_18555
K11895,SFO,Z042_07980 Z042_15415 Z042_16030
K11895,PMR,PMI0745
K11895,PMIB,BB2000_0817(tssE)
K11895,EIC,NT01EI_2743
K11895,ETR,ETAE_2435(evpG)
K11895,ETD,ETAF_2205(evpG)
K11895,ETE,ETEE_0467(evpG) ETEE_3951(evpG) ETEE_4092(evpG)
K11895,ETC,ETAC_09350 ETAC_11530
K11895,EDW,QY76_08170 QY76_10110
K11895,EDL,AAZ33_09645 AAZ33_10320
K11895,DDC,Dd586_1294
K11895,DDD,Dda3937_00813
K11895,DZE,Dd1591_2803
K11895,DZC,W909_06590
K11895,XBO,XBJ1_0267 XBJ1_2097
K11895,XBV,XBW1_0233
K11895,XNE,XNC1_2531 XNC1_4549
K11895,XNM,XNC2_2432 XNC2_4395
K11895,XDO,XDD1_1885 XDD1_2031 XDD1_3761
K11895,XPO,XPG1_0229 XPG1_1845
K11895,PAM,PANA_2355 PANA_4133
K11895,PLF,PANA5342_1741
K11895,PAJ,PAJ_1657 PAJ_p0157
K11895,PAQ,PAGR_g1673
K11895,PVA,Pvag_1041
K11895,PAO,Pat9b_2504 Pat9b_3456
K11895,KLN,LH22_10135
K11895,PANT,PSNIH1_03490
K11895,PANP,PSNIH2_14985
K11895,RAH,Rahaq_4580 Rahaq_4922
K11895,RAQ,Rahaq2_0570 Rahaq2_4586 Rahaq2_4766 Rahaq2_4868
K11895,RAA,Q7S_23421 Q7S_24511 Q7S_25146
K11895,PSI,S70_09590
K11895,PSX,DR96_1264
K11895,EBT,EBL_c11830
K11895,RON,TE10_17760
K11895,CNT,JT31_02140
K11895,CEM,LH23_10705 LH23_16040
K11895,CEN,LH86_15100
K11895,CED,LH89_05205
K11895,PGE,LG71_05725 LG71_07950 LG71_15905 LG71_22630
K11895,HAV,AT03_05090 AT03_08800
K11895,KSA,C813_01515 C813_19285
K11895,KIN,AB182_15135 AB182_20570
K11895,PFQ,QQ39_05600 QQ39_08440 QQ39_14805
K11895,EBF,D782_3638
K11895,AAP,NT05HA_1855
K11895,XCV,XCV2126 XCV4237
K11895,XAC,XAC4141
K11895,XCI,XCAW_00158
K11895,XCT,J151_04319
K11895,XCU,J159_04268
K11895,XCN,J169_04316
K11895,XCW,J162_04274
K11895,XCR,J163_04268
K11895,XCM,J164_04269
K11895,XCF,J172_04309
K11895,XCJ,J158_04272
K11895,XFU,XFF4834R_chr40100
K11895,XAX,XACM_2104 XACM_4009
K11895,XAO,XAC29_20840
K11895,XOO,XOO3046 XOO3476
K11895,XOM,XOO_2900 XOO_3289
K11895,XOP,PXO_00260 PXO_02050
K11895,XOY,AZ54_06420 AZ54_08735
K11895,XOR,XOC_1359 XOC_2538
K11895,XOZ,BE73_12275 BE73_16520
K11895,XTN,FD63_06460 FD63_13790
K11895,FAU,Fraau_1789
K11895,DJA,HY57_13735
K11895,VCH,VCA0111
K11895,VCF,IR04_00490
K11895,VCE,Vch1786_II0905
K11895,VCJ,VCD_000133
K11895,VCO,VC0395_0027
K11895,VCR,VC395_A0104
K11895,VCM,VCM66_A0109
K11895,VCI,O3Y_13993
K11895,VCL,VCLMA_B0099
K11895,VCQ,EN18_04280
K11895,VCS,MS6_A0094
K11895,VCX,VAA049_1797
K11895,VCZ,VAB027_918
K11895,VVU,VV2_0431
K11895,VVY,VVA0981
K11895,VVM,VVMO6_03901
K11895,VPA,VP1406 VPA1029
K11895,VPB,VPBB_1321 VPBB_A0935
K11895,VPK,M636_04540 M636_14810
K11895,VPF,M634_23065
K11895,VPH,VPUCM_20936
K11895,VHA,VIBHAR_05859
K11895,VCA,M892_22425
K11895,VAG,N646_3990 N646_4400
K11895,VSP,VS_II0993
K11895,VEX,VEA_000026 VEA_000437
K11895,VFU,vfu_B00788 vfu_B01180
K11895,VNI,VIBNI_A1441 VIBNI_B0341
K11895,VAN,VAA_03032
K11895,LAG,N175_07370 N175_17360
K11895,VAU,VANGNB10_cI1484c(vasB-1?) VANGNB10_cII0074(vtsB)
K11895,VCY,IX92_19610
K11895,VCT,JV59_19690
K11895,VTU,IX91_04980 IX91_07145 IX91_23785
K11895,VFI,VF_1000
K11895,VFM,VFMJ11_1083 VFMJ11_A0819
K11895,VSA,VSAL_I1120(vasG)
K11895,AWD,AWOD_II_0115(vasB) AWOD_I_0990(vasG)
K11895,PPR,PBPRA0672
K11895,PAE,PA0089 PA1661 PA2370
K11895,PAEV,N297_1707 N297_2444 N297_95
K11895,PAEI,N296_1707 N296_2444 N296_95
K11895,PAU,PA14_01080 PA14_34000 PA14_42990
K11895,PAP,PSPA7_0161 PSPA7_2891 PSPA7_3611
K11895,PAG,PLES_00901 PLES_29331 PLES_36661
K11895,PAF,PAM18_0091 PAM18_2671 PAM18_3385
K11895,PNC,NCGM2_0093 NCGM2_2559 NCGM2_3380
K11895,PAEB,NCGM1900_0086 NCGM1900_4160 NCGM1900_4906
K11895,PDK,PADK2_00465 PADK2_13420 PADK2_17400
K11895,PSG,G655_00455 G655_13200 G655_16880
K11895,PRP,M062_00460 M062_08840 M062_12355
K11895,PAER,PA1R_gp0170 PA1R_gp3603 PA1R_gp5242
K11895,PAEM,U769_00470 U769_13385 U769_17430 U769_22705
K11895,PAEL,T223_00460 T223_15000 T223_18760
K11895,PAES,SCV20265_0091 SCV20265_2948 SCV20265_3750
K11895,PAEU,BN889_00136(tssG) BN889_01779(impH3) BN889_02594(impH)
K11895,PAEG,AI22_03440 AI22_16280 AI22_20085
K11895,PAEC,M802_1704 M802_2441 M802_95
K11895,PAEO,M801_1706 M801_95
K11895,PPU,PP_2620 PP_3096 PP_4078
K11895,PPF,Pput_2123 Pput_2626
K11895,PPG,PputGB1_2768 PputGB1_3228
K11895,PPW,PputW619_2506 PputW619_3244
K11895,PPT,PPS_2840
K11895,PPI,YSA_00336 YSA_10464
K11895,PPX,T1E_0050 T1E_0415 T1E_2455
K11895,PPUH,B479_14110 B479_15900
K11895,PPUN,PP4_24510 PP4_32430
K11895,PPUD,DW66_3097 DW66_3475
K11895,PFV,Psefu_0246
K11895,PMON,X969_13590
K11895,PMOT,X970_13235
K11895,PMOS,O165_025290
K11895,PPJ,RK21_01105 RK21_01434 RK21_01823
K11895,PST,PSPTO_2547 PSPTO_5426
K11895,PSB,Psyr_4957
K11895,PSYR,N018_10915 N018_25040
K11895,PSP,PSPPH_0130
K11895,PCI,PCH70_21110 PCH70_24030 PCH70_25730
K11895,PFL,PFL_6092(tssG)
K11895,PPRC,PFLCHA0_c60510
K11895,PPRO,PPC_6045(tssG)
K11895,PFO,Pfl01_3411 Pfl01_5585
K11895,PFS,PFLU_6024
K11895,PFE,PSF113_2412(impH) PSF113_5805(impH2) PSF113_5824(impH3)
K11895,PFC,PflA506_2412(tssG2) PflA506_5306(tssG1)
K11895,PFN,HZ99_05045
K11895,PFW,PF1751_v1c29820(tssG) PF1751_v1c54370(tssG)
K11895,PFB,VO64_0705 VO64_2917 VO64_5386
K11895,PFF,PFLUOLIPICF708810 PFLUOLIPICF721280
K11895,PPZ,H045_06800 H045_20435
K11895,PMAN,OU5_3573
K11895,PTV,AA957_15010 AA957_27355
K11895,PEN,PSEEN0527
K11895,PMY,Pmen_0096 Pmen_2330
K11895,PMK,MDS_0027
K11895,PSZ,PSTAB_4084
K11895,PSC,A458_00665
K11895,PSJ,PSJM300_03060
K11895,PSH,Psest_0126
K11895,PSTU,UIB01_00585
K11895,PSTT,CH92_03100
K11895,PBM,CL52_00955
K11895,PBA,PSEBR_a3321 PSEBR_a5565
K11895,PBC,CD58_12515 CD58_29100
K11895,PPUU,PputUW4_03074
K11895,PDR,H681_03865 H681_14905
K11895,PRE,PCA10_01740
K11895,PSV,PVLB_09890
K11895,PSK,U771_18915 U771_31140
K11895,PKC,PKB_2798
K11895,PCH,EY04_18290 EY04_30155
K11895,PCZ,PCL1606_01140
K11895,PCP,JM49_00860 JM49_12805
K11895,PSW,LK03_04775 LK03_15790
K11895,PPV,NJ69_05065 NJ69_20350
K11895,PSES,PSCI_1899(tssG1) PSCI_4582 PSCI_5042(tssG2)
K11895,PSEM,TO66_31000
K11895,PSEC,CCOS191_2044 CCOS191_5054
K11895,AVN,Avin_26620 Avin_50850
K11895,AVL,AvCA_26620 AvCA_50850
K11895,AVD,AvCA6_26620 AvCA6_50850
K11895,ACB,A1S_1300
K11895,ABM,ABSDF2246
K11895,ABY,ABAYE2410
K11895,ABC,ACICU_01301
K11895,ABN,AB57_1484
K11895,ABB,ABBFA_002234
K11895,ABX,ABK1_1747
K11895,ABZ,ABZJ_01459
K11895,ABR,ABTJ_02409
K11895,ABD,ABTW07_1473
K11895,ABH,M3Q_1670
K11895,ABJ,BJAB07104_01464
K11895,ABAB,BJAB0715_01485
K11895,ABAJ,BJAB0868_01414
K11895,ABAZ,P795_10885
K11895,ABK,LX00_06430
K11895,ABAU,IX87_03950
K11895,ABW,BL01_13250
K11895,ACC,BDGL_000644
K11895,ACD,AOLE_12240
K11895,ACI,ACIAD2686
K11895,SFR,Sfri_2363
K11895,SBB,Sbal175_2056
K11895,SWD,Swoo_2525
K11895,PSM,PSM_B0218
K11895,MAQ,Maqu_3729
K11895,MHC,MARHY3630
K11895,MAD,HP15_3472
K11895,MSR,AU15_06155
K11895,MARI,ACP86_07905
K11895,PIN,Ping_0022
K11895,PSY,PCNPT3_08445
K11895,MVS,MVIS_2822(mts2-S) MVIS_3024(mts1-S)
